Nama Rumah Makan,Lokasi,Alamat lengkap,Jam Operasional,Makanan,Masakan,Halal?,Fasilitas
Martabak Mertua,Dipatiukur,"Jl. Dipati Ukur No. 84A, Bandung",15.00 - 22.00,"Dessert, Martabak",?,?,Bawa Pulang
Rumah Miring,Dago,"Jl. Dago Giri No. 119, Bandung",11.00 - 00.00,"Pizza, Iga, Wings, Steak, Pasta",Italia,?,"Bawa Pulang, Wifi, Kartu Kredit, Kursi Bayi, Kursi Roda, Area Merokok"
Dago Panyawangan,Dago,"Jl. Ir. H. Juanda No 127, Bandung",10.00 - 23.00,"Ayam Goreng, Nasi Goreng, Ikan, Sop Buntut","Sunda, Indonesia",?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit"
Hanamasa,Dago,"Jl. Ir. H. Juanda No. 48, Bandung",11.00 - 22.00,"Teppanyaki, Daging, Shabu Shabu, Yakiniku",Cina,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Kursi Roda, Area Merokok"
Boda Barn,Lembang,"Jl. Pagermaneuh No. 75, Pagerwangi, Lembang, Bandung Barat",10.00 - 21.00,"Soto, Bebek, Ayam Goreng, Nasi Goreng, Mie",Indonesia,Ya,"Parkir, Reservasi, Area Merokok"
Sapu Lidi,Cihampelas,"Jl. Cihampelas 7, Bandung",09.00 - 22.00,"Bebek, Ayam Goreng, Rica rica",Indonesia,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Area Merokok"
Sapulidi Cafe & Resort,Graha Puspa,"Graha Puspa, Jl. Puspa Raya, Cihideung, Parongpong, Bandung Barat",10.00 - 22.00,"Ayam Goreng, Sate, Ikan Bakar, Gado gado, Ikan Goreng",Sunda,Ya,"Parkir, Wifi, Reservasi, Area Merokok"
Liwet Asep Strawberry,Lembang,"Jl. Raya Lembang - Bandung No. 177, Jayagiri, Lembang, Bandung Barat",07.00 - 22.00,"Ayam Goreng, Jus, Ikan Goreng",Sunda,Ya,Parkir
Imah Seniman,Lembang,"Imah Seniman, Jl. Kolonel Masturi No. 8, Gudangkahuripan, Lembang, Bandung Barat",07.00 - 21.00,"Ayam Goreng, Nasi Goreng, Ikan","Asia, Sunda",Ya,"Parkir, Wifi, Reservasi, Area Merokok"
"Saung Bakakak Lembang ""Khas Nusantara""",Lembang,"Jl. Raya Maribaya No. 124, Langensari, Lembang, Bandung Barat",08.00 - 19.00,"Ayam Bakar, Ayam Goreng, Ikan Goreng, Nasi Goreng",Indonesia,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kursi Bayi, Area Merokok"
The Barn,Lembang,"Jl. Trinity Kp Daun Blok I No 31 Km 4, Bandung",09.00 - 21.00,"Kue, Kopi, Dessert, Teh",?,?,Bawa Pulang
Burgundy Dine & Wine,Lembang,"Jl. Raya Maribaya No. 163, Langensari, Lembang, Bandung Barat",10.00 - 22.00,"Wine, Burger, Steak, Pasta, Kentang Goreng",Barat,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Kursi Bayi, Kursi Roda, Area Merokok"
Sindang Reret,Lembang,"Jl. Raya Cikole KM . 22 , Cikole, Lembang, Bandung Barat",10.00 - 22.00,"Bebek, Ayam Goreng, Gado Gado, Ikan Goreng, Cumi",Sunda,Ya,"Parkir, Wifi, Reservasi, Area Merokok"
Sei Lelebo,Lembang,"Jl. Punclut No. 234, Ciumbuleuit, Cidadap, Bandung",09.00 - 22.00,"Se'i, Babi, Bir",Indonesia,Tidak,"Wifi, Reservasi, Area Merokok"
RM Tahu Sumedang Renyah,Lembang,"Jl. Raya Lembang No.216, Lembang, Bandung Barat, Bandung",07.00 - 21.00,"Nasi Goreng, Mie Goreng, Nasi Timbel, Tahu",Indonesia,?,"Bawa Pulang, Parkir, Reservasi"
Natural Resto and Strawberry Land,Lembang,"Jl. Raya Tangkuban Parahu No. 109, Cibogo, Lembang, Bandung Barat",09.00 - 18.00,"Pecel, Ayam Goreng, Sate",Indonesia,?,Parkir
Dago Bakery,Lembang,"Jl. Pagermaneuh No. 57, Lembang, Bandung",09.00 - 22.00,"Pizza, Sandwich, Roti, Kue","Barat, Indonesia",Ya,"Parkir, Reservasi, Area Merokok"
Cakrawala Resto,Lembang,"Jl. Pageumaneuh No. 57, Ciumbuleuit, Cidadap, Bandung",09.00 - 22.00,"Pangsit, Mie, Steak, Pasta",Indonesia,Ya,"Parkir, Wifi, Reservasi, Area Merokok"
Tafso Barn,Lembang,"Jl. Baru Laksana No. 75, Pagerwangi, Lembang, Bandung",11.00 - 23.00,"Nasi Goreng, Sushi, Nasi Uduk",Indonesia,Ya,"Parkir, Wifi, Reservasi, Area Merokok"
Tahu Susu Lembang,Lembang,"Jl. Raya Lembang No. 177, Jayagiri, Lembang, Bandung Barat",09.00 - 21.00,"Jajanan Pasar, Tahu",Indonesia,?,"Bawa Pulang, Parkir"
Omah Bamboo Restaurant at The Lodge Maribaya,Lembang,"The Lodge Maribaya, Jl. Maribaya No. 149 , Bandung",08.00 - 18.00,"Ayam Goreng, Nasi",Sunda,?,"Bawa Pulang, Parkir, Reservasi"
The Bale Restaurant,Mulberry Hill The Lodge,"Mulberry Hill By The Lodge, Jl. Maribaya Timur No. 1, Lembang, Bandung Barat, Bandung",07.30 - 22.00,"Nasi Goreng, Pasta, Salad",Indonesia,?,"Parkir, Kartu Kredit"
Saung Pengkolan,Lembang,"Jl. Raya Lembang KM. 12.3 No 35, Gudangkahuripan, Lembang, Bandung Barat",08.00 - 21.30,"Ayam Bakar, Ayam Goreng, Ikan Bakar, Gulai, Ikan Goreng",Sunda,?,"Bawa Pulang, Parkir, Wifi, Kartu Kredit, Kursi Bayi, Area Merokok"
Kaki Bukit Coffee & Yard,Lembang,"Jl. Maribaya No. 16, Kayuambon, Lembang, Bandung Barat",08.00 - 21.00,"Sandwich, Rice Bowl, Kopi, Teh",Asia,?,"Bawa Pulang, Parkir, Wifi, Reservasi, Kartu Kredit, Area Merokok"
